id,bedrooms,price,reviews_per_month,review_scores_value
10379281,1,140.00,0.16,9
4282686,1,62.00,5.04,9
6546899,2,152.00,0.05,8
17612492,3,149.00,,
12081447,3,139.00,4.01,10
7049460,2,93.00,0.29,10
12735515,1,80.00,0.53,8
9269326,1,55.00,1.21,9
6811699,1,40.00,2.62,9
10582829,4,165.00,0.13,10
2531121,2,49.00,2.42,8
11522276,4,230.00,0.41,9
17251664,7,100.00,,
12145761,1,100.00,0.16,10
9074767,1,70.00,0.63,9
17338579,2,95.00,,
1828391,4,200.00,0.39,10
6223768,1,89.00,3.47,9
8058674,1,50.00,1.98,9
3144955,1,40.00,2.62,9
17093014,1,23.00,7.50,9
12206076,2,179.00,,
8252909,1,70.00,1.54,9
16774811,2,125.00,,
14832661,2,175.00,0.64,10
874340,1,60.00,5.35,9
4257245,1,89.00,0.71,9
5388929,1,65.00,0.84,9
17462676,1,56.00,1,8
10725464,4,190.00,0.13,4
1103734,2,101.00,,
14054735,2,135.00,2.76,10
15594816,1,75.00,1.49,10
1928474,4,110.00,0.10,9
2450025,1,60.00,0.61,10
9986641,1,58.00,0.84,9
15880053,1,54.00,2.32,10
8378116,1,60.00,2.84,9
9366344,1,84.00,0.89,9
12776567,1,80.00,,
12839333,1,75.00,0.36,10
15953085,3,150.00,0.33,10
8385328,3,175.00,0.16,9
14609502,0,60.00,4.12,9
12120837,1,60.00,0.82,9
13035842,1,63.00,1.75,9
3568357,1,75.00,0.70,9
6022379,2,115.00,1.02,10
1155432,2,75.00,0.69,9
17886196,0,85.00,,
6392669,3,120.00,0.15,9
17613852,1,50.00,,
3700218,1,70.00,2.85,10
12141525,1,70.00,2.77,9
11460770,1,65.00,2.68,9
3582360,1,80.00,,
16625355,3,103.00,1.40,10
15869981,3,269.00,,
15581428,4,195.00,,
9424671,2,149.00,3.68,10
6770259,1,110.00,0.23,10
2013595,2,99.00,0.26,10
13924621,3,120.00,,
2829905,1,50.00,1.28,9
17643789,2,120.00,,
2797128,3,120.00,0.13,9
7512251,1,100.00,0.05,10
9949257,2,95.00,0.71,10
17115250,3,195.00,,
2144308,1,85.00,1,
1064499,2,50.00,0.10,10
9358665,1,65.00,1.63,9
13314104,1,45.00,0.21,10
17901606,0,125.00,,
13611328,1,35.00,1.92,9
6344463,3,170.00,1.05,9
6963313,1,65.00,0.70,10
15048686,1,45.00,0.49,8
11943431,3,95.00,0.13,10
3385173,4,251.00,0.95,9
10823505,4,120.00,0.68,10
15577083,2,120.00,,
13711578,5,134.00,0.46,10
4630306,2,75.00,0.31,9
4208249,1,74.00,1.20,8
14896223,1,35.00,0.30,
16893553,2,160.00,,
17114506,3,119.00,2.14,10
13132427,3,175.00,0.12,10
14339440,1,59.00,5.82,9
6834902,3,124.00,0.52,8
13012178,4,220.00,1.00,9
2910674,4,150.00,0.43,10
9708720,2,99.00,0.57,9
9708704,1,49.00,0.35,10
12296697,3,169.00,0.38,9
13649201,3,80.00,0.12,10
3819951,3,105.00,0.09,10
16364432,1,52.00,1.44,9
14853175,1,37.00,4.16,10
13836784,2,195.00,,
11938685,1,49.00,1.86,10
13737217,1,70.00,1.25,9
1291054,1,60.00,5.14,9
3492869,3,99.00,0.61,9
12977660,2,75.00,0.16,10
8921549,1,56.00,2.20,9
5223111,1,75.00,3.08,9
6212033,1,95.00,1.62,9
13723534,3,100.00,0.24,10
15640161,1,90.00,2.14,10
2338618,1,40.00,3.26,9
13836709,1,55.00,3.39,9
15640146,3,80.00,,
11558669,3,150.00,0.08,
4278312,1,80.00,2.77,9
6429875,3,155.00,0.13,10
17245735,1,120.00,,
6828574,3,77.00,0.35,9
8840817,1,40.00,2.20,9
11615233,4,150.00,0.13,8
15076339,1,23.00,0.15,10
7456687,4,114.00,0.74,10
2735075,2,180.00,0.87,10
8320288,1,80.00,1.49,9
14531477,3,95.00,0.34,9
6300592,1,60.00,0.04,6
13671821,2,95.00,0.99,9
16462649,3,325.00,,
13649696,1,40.00,0.34,10
6764225,3,139.00,0.12,
13278086,3,100.00,0.31,9
8648283,2,195.00,0.07,8
16425793,2,150.00,,
1383297,2,350.00,0.19,5
4961851,1,112.00,3.32,9
17548349,1,95.00,2,9
15472944,1,129.00,2.74,10
9910712,2,93.00,2.61,9
17799350,2,130.00,,
10562799,2,109.00,2.25,8
10357769,1,79.00,1.41,9
8982238,2,79.00,0.12,8
12062398,1,50.00,0.18,9
13724355,2,90.00,1,10
2592291,2,145.00,0.68,9
11946090,10,100.00,0.21,9
14623521,4,159.00,0.36,10
2460851,2,95.00,,
17959033,2,60.00,,
5507178,3,150.00,0.38,9
8885322,2,130.00,1.00,9
15796245,2,175.00,0.67,9
8694219,1,153.00,0.67,9
15697256,2,90.00,,
2097548,2,150.00,0.30,9
6980918,1,70.00,0.37,10
6587565,1,88.00,3.57,9
17891382,3,140.00,,
3937891,0,135.00,3.44,9
13993535,3,115.00,0.23,10
16034725,1,89.00,1.55,10
1016999,1,55.00,0.21,10
7739393,2,99.00,0.85,10
667305,0,129.00,0.24,10
14910428,2,150.00,,
13337449,3,150.00,1.43,9
4752191,1,45.00,3.06,9
7111455,1,65.00,3.62,10
70598,1,38.00,3.62,9
7242227,1,55.00,1.99,8
8618487,2,110.00,0.13,9
984134,2,110.00,0.08,8
4661466,2,40.00,2.60,9
9132701,0,85.00,2.72,9
17712637,1,55.00,1,10
7705953,1,85.00,0.42,9
12976501,0,85.00,1.78,8
13374751,4,125.00,1.11,10
13921682,4,111.00,0.13,8
8491286,1,60.00,1.64,9
1708244,1,79.00,2.38,10
4952268,2,90.00,1.00,9
10293248,2,150.00,0.89,9
17801856,1,96.00,,
16854501,0,75.00,6.67,9
17557514,3,115.00,,
11560797,1,75.00,0.27,9
10512219,3,200.00,,
13199169,2,109.00,0.33,10
3371621,4,260.00,0.18,9
12749738,3,134.00,0.18,9
12445459,4,285.00,,
1366058,2,150.00,0.86,9
10639382,1,100.00,3.73,10
8021740,1,325.00,0.11,8
5547642,1,60.00,,
7825100,1,60.00,0.26,10
13729170,1,89.00,0.84,9
16077145,2,150.00,,
13791652,4,100.00,0.24,8
5504121,3,125.00,0.05,8
156815,10,595.00,0.28,9
1670232,1,70.00,0.87,10
13758821,3,90.00,0.49,10
17970787,0,120.00,,
6355987,2,125.00,8.14,10
8465843,1,88.00,1.09,9
1081307,2,85.00,0.92,9
15668626,2,75.00,4.68,9
17851491,1,250.00,,
17542367,1,54.00,,
9703355,1,40.00,1.74,9
13303591,1,80.00,1.63,9
6513738,2,200.00,0.05,10
16318223,1,99.00,0.60,10
11559988,3,85.00,0.36,9
17519995,0,149.00,,
15367782,1,70.00,,
17101764,1,110.00,1.58,8
17792921,1,78.00,,
17541633,1,54.00,,
14711799,1,85.00,3.69,9
7497053,4,120.00,0.48,10
876543,1,180.00,2.56,8
4349963,3,119.00,0.22,10
17194792,0,65.00,3.49,10
6651113,1,63.00,1.96,9
17834112,2,180.00,,
