id,bedrooms,price,reviews_per_month
13182454,1,38.00,
3498203,1,79.00,1.61
17453051,1,80.00,2
4924944,2,240.00,0.43
8337884,1,20.00,0.87
548073,1,50.00,0.92
15443531,1,70.00,0.69
9658656,1,65.00,
7950475,1,40.00,0.16
18108581,0,60.00,
14176472,1,35.00,1.11
15083172,1,60.00,2.08
5285533,0,75.00,1.38
17955467,1,28.00,
14269186,2,250.00,0.25
1888610,1,55.00,0.31
1859879,1,75.00,0.97
6596414,3,110.00,1.10
17584543,1,76.00,
11839412,0,72.00,0.40
16765385,3,118.00,4.29
272233,1,65.00,2.66
14957501,0,60.00,3.67
867286,1,36.00,0.55
6381965,3,85.00,0.75
477656,1,38.00,0.16
7164589,1,30.00,
13685460,1,29.00,
1129694,1,59.00,1.52
10849742,0,60.00,3.17
9294576,1,103.00,
6372789,1,31.00,4.44
2932015,3,220.00,0.63
17972565,1,44.00,
17710432,2,285.00,
15094639,1,40.00,7.61
16891301,2,70.00,2
1266548,1,76.00,2.21
9757508,2,59.00,2.07
13024724,2,39.00,3.08
4678105,2,100.00,0.75
2965016,5,300.00,0.71
3189209,0,90.00,0.32
3816282,1,40.00,4.57
16105057,1,90.00,
4641813,1,100.00,1.49
13259870,1,70.00,0.19
10900611,1,49.00,1.21
5690515,2,120.00,
666222,1,65.00,2.13
14275742,2,90.00,2.14
15652003,2,150.00,
15739542,1,40.00,0.64
12861209,1,52.00,
17130010,2,450.00,0.67
11359451,1,50.00,
4860635,2,180.00,0.65
1105892,1,45.00,0.84
12271450,1,89.00,3.14
16460617,1,48.00,4.68
371532,1,65.00,0.32
6406098,1,65.00,4.32
17476489,1,70.00,
4347246,2,92.00,2.84
18066409,1,80.00,
7913657,1,59.00,2.83
8405224,2,105.00,1.92
15810874,1,115.00,
14771127,2,300.00,0.89
15881834,1,95.00,1.43
15884943,1,65.00,0.86
16236943,0,80.00,2.40
3430035,3,145.00,1.04
12542712,1,50.00,0.16
14074598,2,118.00,3.95
9940439,0,50.00,0.07
15852288,1,65.00,0.58
12343240,3,45.00,1
6721667,1,90.00,
4675550,1,69.00,3.17
5391243,0,70.00,0.53
16231496,1,50.00,
4736012,1,75.00,0.36
13217416,1,45.00,4.26
8517999,1,25.00,
461663,2,70.00,0.46
16363243,1,37.00,0.83
2731786,1,39.00,1.01
5232887,2,85.00,2.24
15121216,1,55.00,3.06
9056073,2,140.00,2.73
12567922,4,124.00,
3223429,0,55.00,1.65
5921173,1,52.00,
14803932,1,88.00,0.95
10110419,4,129.00,3.43
17095091,1,69.00,
15259863,1,30.00,3.21
18100228,1,35.00,
15817286,1,60.00,0.20
16404239,1,50.00,0.36
7155877,1,26.00,0.30
12863252,1,40.00,
844856,1,62.00,0.25
15555277,3,170.00,
16308970,1,50.00,0.78
9089327,2,90.00,2.29
11519895,1,30.00,0.28
645934,1,60.00,1.04
11121053,2,100.00,0.37
11524307,1,50.00,1.08
6478676,2,170.00,0.17
16767829,0,60.00,2.34
6320441,1,181.00,
5399733,1,89.00,1.33
17554419,1,75.00,
2417867,1,60.00,0.29
16599283,1,70.00,0.57
15053593,3,100.00,2.92
4149085,1,80.00,0.17
17838777,1,40.00,
7628044,1,25.00,0.06
3166047,2,89.00,3.76
