id,bedrooms,price,reviews_per_month,review_scores_value
8728726,1,70.00,0.97,9
12355662,1,75.00,,
2158913,0,88.00,1.16,9
6086506,2,125.00,2.49,9
14529786,1,99.00,,
3532411,0,50.00,1.39,9
13483853,0,70.00,,
4717808,0,65.00,1.13,9
13027771,0,250.00,,
5036829,1,80.00,0.20,9
14595061,1,84.00,2.73,10
12224288,1,120.00,2.33,10
17898437,1,65.00,,
16347295,0,59.00,,
2192771,1,59.00,0.36,8
15851188,1,30.00,13.23,9
12745786,1,119.00,1.24,10
16658325,1,59.00,5.29,9
16990115,1,30.00,4.07,10
12357772,1,70.00,,
9903841,1,49.00,0.26,10
12733593,1,70.00,0.51,9
7161819,1,65.00,,
13183434,0,70.00,,
1262594,1,130.00,2.23,9
4954439,2,100.00,6.45,9
11887712,,56.00,7.33,10
4455438,1,80.00,,
11392759,0,65.00,3.01,10
9911564,1,80.00,,
10170103,1,100.00,0.60,8
13185092,1,170.00,,
5621702,1,40.00,,
10927384,1,100.00,,
16832328,1,100.00,,
16505483,1,35.00,1.84,10
12284996,0,79.00,0.72,8
16508334,0,70.00,3.13,10
9120613,1,100.00,2.27,10
14409515,2,100.00,,
13664733,1,73.00,0.67,8
15358661,1,50.00,2.64,9
5102063,1,145.00,1.74,10
15119333,1,80.00,0.77,10
12008913,1,120.00,1.54,9
14792761,1,70.00,1.00,8
13759501,0,60.00,2.40,10
6284482,0,60.00,1.10,8
6021575,2,140.00,,
6685758,1,65.00,0.07,10
12576118,1,98.00,1.18,10
5056762,0,40.00,0.08,10
4384657,2,249.00,2.25,9
17073802,1,90.00,,
12698233,0,55.00,1.72,9
15946814,0,110.00,,
15028335,1,49.00,4.66,9
17071404,0,59.00,0.86,10
17219587,0,75.00,3.26,10
7806435,1,88.00,0.05,8
17381865,2,225.00,1,10
15460937,1,79.00,0.83,10
14863318,1,250.00,,
5983155,2,110.00,,
15312403,1,47.00,,
14228482,1,117.00,0.13,8
15308101,0,49.00,0.36,6
5803187,2,120.00,0.47,9
18029254,0,90.00,,
4265806,1,100.00,0.13,10
2477302,2,99.00,1.24,10
4955053,4,850.00,2.05,9
16448986,0,45.00,0.36,10
7464442,0,60.00,0.05,
1286875,3,160.00,1.64,9
14767148,1,44.00,3.35,10
17934791,3,250.00,,
16022777,0,100.00,,
8232153,1,30.00,1.41,9
17018604,1,150.00,0.91,8
17707702,0,30.00,,
14607521,1,29.00,3.36,8
1662753,1,35.00,0.19,10
5792172,0,55.00,0.26,10
6745996,1,62.00,0.27,9
16888240,3,150.00,7.50,10
13484053,1,55.00,0.79,9
13405774,0,50.00,0.10,
16630932,1,185.00,,
2330517,1,50.00,0.16,9
1505297,1,64.00,0.42,9
331987,1,150.00,,
4344726,1,59.00,0.75,9
12534924,1,110.00,,
11730250,2,150.00,0.19,10
16079326,0,39.00,3.44,9
7514602,1,150.00,0.24,10
6397860,1,30.00,,
13708902,1,82.00,0.12,8
14068006,1,33.00,0.87,9
4678160,1,95.00,,
7199537,1,40.00,0.35,8
15268618,0,100.00,0.16,
10169731,1,70.00,0.08,8
15771870,1,50.00,0.41,9
18040491,0,67.00,,
16714593,1,110.00,,
13403053,1,55.00,2,10
14855736,1,90.00,1.38,9
13872325,1,50.00,,
1282543,1,60.00,0.05,10
7720494,1,84.00,,
3235603,1,65.00,,
6483979,1,50.00,0.23,
77482,4,400.00,1.00,9
17987696,1,65.00,,
13304237,0,80.00,,
6815363,1,45.00,0.28,9
4259873,1,80.00,0.63,10
17920122,0,50.00,,
7343614,1,70.00,0.20,10
6851421,1,80.00,0.07,10
9311961,2,105.00,,
4248238,1,60.00,0.90,9
13752559,1,40.00,1,8
15672665,1,55.00,1.39,8
14357834,2,150.00,1.59,9
14646474,2,80.00,1.84,9
13052544,0,56.00,0.19,10
765249,2,119.00,0.09,10
4005935,1,70.00,0.27,7
1691272,1,150.00,,
4133406,1,80.00,0.78,9
2817185,1,60.00,1.03,9
9153746,1,27.00,0.46,9
14867542,1,40.00,4.20,10
8177759,1,55.00,1.17,10
2805407,1,120.00,,
12694235,0,50.00,0.34,6
6540568,0,70.00,1.20,8
609174,1,120.00,,
5894003,1,82.00,4.38,10
16789104,1,30.00,0.43,10
17784335,1,42.00,1,10
3261850,1,50.00,0.23,10
4438049,1,63.00,0.45,9
11226955,1,70.00,6.09,9
14568199,1,80.00,,
248575,1,71.00,2.51,9
3308447,1,31.00,1.92,10
5267718,0,59.00,0.87,9
13430252,1,70.00,3.66,9
14198643,2,70.00,,
3874485,1,95.00,0.26,10
7452323,1,70.00,3.60,9
13983872,0,45.00,0.49,10
