id,bedrooms,price,calculated_host_listings_count,review_scores_value
14031256,1,62.00,8,9
17542935,2,76.00,4,9
17956381,1,70.00,1,10
6869940,1,55.00,2,10
15323278,1,65.00,1,9
19017366,1,65.00,1,
4047638,1,85.00,1,9
6402712,1,50.00,1,10
15595462,2,152.00,1,10
20556376,1,225.00,1,
7019788,2,250.00,1,10
19709281,1,125.00,1,10
2863530,2,130.00,1,9
13675413,2,175.00,1,10
1427401,0,90.00,1,9
11992103,0,95.00,2,10
16855309,1,150.00,1,10
12601401,0,125.00,1,9
12099852,1,165.00,1,
17405926,1,189.00,1,10
18076941,1,150.00,1,8
8368708,1,150.00,2,
6805513,1,100.00,1,8
14274748,1,200.00,1,10
2727166,1,61.00,1,10
13486885,1,60.00,1,10
13980911,1,60.00,6,10
19037243,1,45.00,3,9
6477671,1,60.00,6,10
16181190,1,49.00,4,9
14240385,1,59.00,8,9
14337001,1,63.00,1,9
20482284,1,60.00,1,
843943,1,65.00,1,10
7051813,1,59.00,1,
3469178,1,70.00,1,
9894602,1,65.00,2,10
13343144,1,80.00,1,10
14322869,1,122.00,1,10
8274931,1,85.00,1,10
19386564,1,90.00,1,10
7774182,2,289.00,2,9
11135107,1,125.00,1,9
13299243,3,350.00,1,10
5879750,1,225.00,1,
8505031,1,55.00,1,10
8188931,1,50.00,2,
1682958,1,49.00,2,9
16378809,1,100.00,1,
8499719,1,70.00,2,10
9674142,1,59.00,6,10
9510385,1,70.00,1,10
20043063,1,75.00,1,10
16382866,1,40.00,8,9
18963566,1,75.00,1,
16085058,2,70.00,1,10
14110395,1,65.00,1,
11315999,1,60.00,3,10
18674204,1,80.00,3,
19827268,1,70.00,3,
14351787,1,59.00,6,10
8045552,0,85.00,1,9
14341397,1,99.00,1,9
19242821,1,199.00,1,10
9164910,1,79.00,1,9
9988233,1,110.00,1,10
785366,3,200.00,1,8
8648668,1,145.00,1,
16099007,1,65.00,1,10
7053353,1,27.00,1,10
7053165,2,250.00,1,
7415011,1,37.00,1,
9370370,1,65.00,1,10
9674869,1,45.00,6,10
9696560,1,30.00,1,
12772076,3,250.00,1,10
16908058,1,41.00,1,
17023406,1,34.00,1,10
4849864,0,112.00,1,9
2465962,1,125.00,1,9
19114715,1,110.00,2,
20054438,1,69.00,1,10
14025205,1,75.00,1,10
19530263,1,40.00,1,10
13763369,1,50.00,1,10
4172633,1,160.00,1,
12846229,2,125.00,1,
13379269,1,40.00,2,
20457624,1,60.00,1,10
16394420,1,60.00,2,9
9709801,1,40.00,1,
7874869,1,72.00,8,9
20195711,1,96.00,2,10
15084086,1,150.00,1,10
14092055,1,99.00,1,10
3605493,1,120.00,1,9
20056034,0,110.00,1,
4993422,1,72.00,1,9
15741848,1,50.00,1,
1324087,1,75.00,1,9
3945636,1,65.00,1,9
9319688,1,100.00,1,
10658613,0,130.00,2,9
8664615,1,75.00,1,10
8795721,1,72.00,1,9
13515087,1,98.00,1,
9058695,1,133.00,1,
8014773,1,90.00,2,
19282891,1,150.00,1,
8535125,1,180.00,1,10
5389907,3,280.00,1,
5638792,1,60.00,1,
14303789,1,120.00,3,10
20056846,1,120.00,1,10
11944668,1,95.00,2,10
673061,1,105.00,1,9
9979608,1,175.00,1,10
15484896,1,108.00,1,9
1198231,1,50.00,1,
19833001,4,699.00,1,
20210727,2,150.00,2,10
13527308,1,55.00,1,10
17329054,1,70.00,1,
9334343,1,175.00,1,10
20968097,1,60.00,4,
18354821,1,50.00,1,10
19951681,1,65.00,1,
14839943,2,180.00,2,9
1077375,1,60.00,2,9
7762110,1,50.00,2,
1733157,2,195.00,1,10
20607771,1,90.00,1,10
291812,1,70.00,1,10
19952747,1,45.00,8,10
18117857,1,95.00,1,10
8419216,1,70.00,4,9
13138261,9,850.00,1,8
424298,1,129.00,1,9
4225569,1,96.00,1,9
20478863,1,60.00,1,10
294239,2,192.00,1,10
3833207,1,63.00,1,10
16547283,1,115.00,1,10
19038275,1,97.00,1,10
15237256,1,49.00,8,
19562997,1,100.00,1,10
10253367,1,80.00,1,9
19962221,2,130.00,1,10
1475661,1,140.00,1,10
16036569,1,101.00,1,10
5671103,1,80.00,1,10
9476397,1,60.00,2,10
8952816,1,45.00,5,10
3711039,1,45.00,2,10
9881195,2,150.00,1,
16893907,1,175.00,1,10
1225060,1,110.00,1,10
12629694,0,125.00,2,9
10270687,2,275.00,2,10
12368109,1,57.00,1,9
11714752,1,45.00,1,10
180507,1,185.00,5,9
16302633,1,75.00,1,
180792,1,135.00,5,9
20774980,2,130.00,1,
13828943,1,110.00,1,9
20120907,1,120.00,1,10
18876580,1,60.00,1,10
20305686,1,112.00,1,
9768333,1,125.00,1,
17108395,1,125.00,1,9
18812474,1,74.00,1,10
10686406,1,65.00,1,
8065056,1,45.00,4,9
4264049,1,43.00,6,9
4264127,1,44.00,6,9
4555470,1,110.00,1,9
10191601,1,125.00,1,10
11080366,1,100.00,1,
7803602,1,49.00,8,9
19142273,1,49.00,3,10
726692,3,280.00,1,6
18421622,1,585.00,1,
15932054,1,50.00,4,9
2301724,1,60.00,1,10
20437726,1,45.00,3,10
15959464,1,149.00,2,10
19604165,1,175.00,1,10
1214086,1,59.00,3,9
3614680,0,115.00,1,10
19736984,3,275.00,3,9
4359921,2,180.00,1,10
4270499,1,125.00,1,10
19737132,3,250.00,3,10
11348540,1,59.00,3,8
19343994,0,110.00,1,9
19344040,1,130.00,2,8
19475198,1,60.00,1,10
4861046,1,125.00,1,
2454667,1,77.00,9,9
15019436,1,61.00,1,10
20196860,1,50.00,1,10
15806126,1,50.00,1,10
3878621,2,250.00,2,9
5845124,1,75.00,1,10
2830518,1,65.00,1,10
13709841,1,40.00,1,
20132802,1,90.00,1,
18691200,1,141.00,1,10
7003697,1,10,000.00,1,10
20919218,1,75.00,1,10
17817203,1,53.00,2,9
6764323,1,79.00,1,10
12990502,1,40.00,2,10
9648225,2,119.00,6,10
17774765,1,100.00,1,10
15940328,1,105.00,1,10
4537500,1,44.00,6,10
4710310,1,70.00,1,
19611102,1,49.00,1,10
6766259,1,75.00,1,9
6766662,1,150.00,1,10
11653913,1,190.00,1,6
