id,bedrooms,price,number_of_reviews
19912699,1,95.00,1
15311833,1,60.00,3
20586405,1,0.00,3
20026248,3,275.00,4
13556488,1,150.00,2
16251872,1,25.00,16
20155864,2,150.00,0
20679072,1,50.00,5
20678858,1,35.00,1
3506399,1,76.00,15
581542,1,92.00,55
6585028,1,159.00,50
7043746,3,250.00,79
6520350,4,300.00,47
19261720,5,715.00,0
18802889,2,200.00,11
16082923,1,100.00,31
19487730,1,99.00,13
14110407,4,450.00,11
16449771,1,55.00,12
7894007,2,200.00,51
15492820,1,65.00,0
13657292,2,160.00,25
13525009,1,30.00,11
13524592,1,30.00,10
12211396,1,55.00,2
6044964,1,150.00,73
14124508,2,101.00,31
19812097,2,50.00,2
12205604,1,159.00,30
20587378,1,0.00,2
18359426,1,55.00,17
6576463,1,129.00,41
15342701,1,150.00,8
13113064,1,125.00,28
20583998,1,40.00,5
18785110,3,225.00,18
7996391,1,202.00,0
16253413,1,69.00,5
16254609,3,200.00,19
18504871,1,100.00,12
17097898,1,47.00,12
14303304,1,75.00,20
14959164,1,80.00,23
4008443,1,65.00,17
19475065,1,103.00,3
17865967,1,45.00,2
11262090,1,60.00,3
9238214,1,39.00,5
19410166,1,100.00,1
3263561,1,60.00,2
10723142,1,35.00,1
1036498,1,59.00,58
18022545,3,85.00,18
9895911,1,55.00,8
8648818,1,45.00,0
1710729,1,200.00,0
9684503,1,68.00,5
13084559,1,45.00,7
17496002,0,130.00,19
13937620,2,180.00,10
20439529,1,85.00,1
15834067,1,110.00,15
752366,1,110.00,13
3176874,2,119.00,145
19848373,2,200.00,4
12185367,1,125.00,5
20309405,2,120.00,0
2024991,2,110.00,0
15037795,2,125.00,6
4831703,2,150.00,3
3615796,1,179.00,25
16163275,1,95.00,9
14708459,1,200.00,0
18994965,1,60.00,10
12582348,1,55.00,8
21174772,1,95.00,0
894093,1,47.00,64
19570605,1,65.00,16
18548629,1,150.00,0
16897705,1,68.00,4
16180024,1,85.00,10
19122134,1,65.00,2
12609695,1,55.00,3
10995810,1,33.00,0
8266969,1,75.00,0
9613541,1,100.00,0
978615,1,87.00,135
771650,1,77.00,19
449764,1,85.00,28
771647,1,75.00,22
7402303,1,120.00,3
5569167,1,50.00,1
13348074,1,65.00,0
3594408,1,85.00,2
4666794,1,60.00,1
6934770,1,55.00,0
895432,1,85.00,0
15875,1,85.00,60
11774332,1,159.00,11
20896605,1,110.00,3
5085965,1,95.00,124
13359798,1,200.00,11
15990316,1,95.00,12
12827146,1,68.00,9
3768977,1,170.00,85
4839932,1,125.00,5
11776141,0,135.00,10
16442423,2,130.00,5
18404432,2,99.00,1
14790101,2,160.00,1
9548931,1,130.00,3
19984688,3,325.00,9
761606,2,100.00,2
6376519,3,175.00,0
13318679,1,180.00,1
11728836,1,95.00,1
1221511,1,95.00,16
9351679,1,80.00,2
11778074,2,290.00,0
4792219,2,90.00,0
6933582,1,100.00,2
2086732,1,180.00,2
13100152,1,110.00,1
15978933,1,65.00,3
20638833,1,50.00,1
19115142,1,100.00,0
12681868,1,58.00,30
20057317,0,110.00,1
19050041,1,80.00,15
21025596,1,85.00,1
