id,bedrooms,price,number_of_reviews
1790497,1,87.00,7
7198961,1,89.00,14
15191982,10,375.00,6
12970450,3,110.00,3
4613438,2,150.00,2
5667513,1,95.00,9
13728433,2,119.00,7
3308196,4,175.00,9
1429991,3,275.00,12
13292640,2,100.00,1
5334290,1,259.00,5
12475352,0,120.00,71
15693863,0,60.00,12
1545820,3,150.00,89
8163956,1,55.00,83
7232335,2,150.00,71
12512968,4,90.00,3
4762636,1,40.00,3
6805895,1,57.00,2
1958574,0,71.00,47
13619557,1,69.00,40
17162941,1,70.00,2
17260026,0,85.00,0
3465890,2,150.00,39
9035176,1,90.00,33
13460110,1,95.00,12
5956742,3,170.00,5
3282245,1,99.00,35
6394584,1,60.00,0
293337,1,105.00,10
17890203,0,125.00,0
16535469,4,350.00,0
10605279,0,200.00,15
13554389,2,88.00,6
15560235,2,90.00,1
15882816,1,95.00,4
1406631,2,119.00,152
9268762,2,109.00,26
2481241,1,85.00,22
17905627,1,88.00,0
9206180,2,125.00,8
15785019,1,79.00,7
3045003,3,175.00,5
3532705,1,115.00,6
2534399,0,70.00,20
6584600,2,115.00,2
11857316,1,120.00,90
17487457,0,94.00,2
2906645,2,200.00,22
2120210,6,175.00,15
16159389,1,55.00,28
14120438,2,150.00,11
2381731,1,99.00,31
10606494,1,75.00,23
15628281,1,100.00,1
5821422,1,125.00,6
293514,2,74.00,5
9920316,1,75.00,2
12541751,1,70.00,2
14021349,3,279.00,4
4538960,8,511.00,29
17472980,0,84.00,0
15029186,2,149.00,32
14046777,1,95.00,5
12775251,1,150.00,19
5067720,2,109.00,0
1109798,2,125.00,193
9518736,1,140.00,14
10809128,1,109.00,1
16537779,2,117.00,0
8482025,2,110.00,6
7105462,2,80.00,65
13986739,3,140.00,10
4634987,3,159.00,42
13558302,1,100.00,2
4713270,2,225.00,1
1733772,1,120.00,44
17848456,1,89.00,0
6712077,1,95.00,3
1829603,3,130.00,55
4216576,3,175.00,12
15168599,1,52.00,9
12375797,2,220.00,17
11954634,2,100.00,2
4708446,1,117.00,5
17034431,2,125.00,0
2800908,3,150.00,3
6615848,3,120.00,9
14486766,3,80.00,0
8135949,1,110.00,25
4034952,1,130.00,18
14641450,4,200.00,9
13955824,1,70.00,1
10432232,1,75.00,159
1166169,2,120.00,5
17129224,0,75.00,10
11873259,3,118.00,5
14118092,1,35.00,6
6463830,4,350.00,25
17932618,3,160.00,0
7907843,1,70.00,18
17581208,2,140.00,2
2507912,1,95.00,41
1353583,1,100.00,16
15247762,1,136.00,1
6535641,1,90.00,0
13414063,1,65.00,2
3853993,2,125.00,32
7305159,3,134.00,11
