id,bedrooms,price,number_of_reviews
6986272,1,496.00,0
1490271,1,799.00,4
2714547,1,791.00,2
715695,1,900.00,30
5167714,0,900.00,9
8174309,0,419.00,26
3337172,0,551.00,14
4734375,1,698.00,49
13380577,1,1,000.00,0
10234839,1,1,799.00,11
13210107,0,853.00,4
3063194,1,915.00,77
11615693,1,667.00,1
1634794,1,667.00,216
9202676,1,799.00,0
14359236,1,496.00,0
5537261,1,1,202.00,2
7281373,1,651.00,0
4029966,1,752.00,0
5642951,1,1,148.00,25
163742,2,768.00,133
13966053,1,752.00,0
1752573,1,876.00,61
8973334,1,551.00,14
9858079,1,349.00,0
7863871,2,1,598.00,10
10042965,4,2,714.00,1
8942733,1,675.00,1
10813046,1,481.00,1
5586575,2,651.00,0
1127705,2,1,404.00,13
12483772,1,349.00,0
2927746,1,737.00,11
1481567,1,745.00,0
10320371,1,434.00,6
12500760,1,752.00,0
5106965,2,1,000.00,9
8838127,1,380.00,0
5123639,2,783.00,36
163796,0,613.00,95
503093,1,690.00,19
13348161,1,582.00,7
7749442,0,683.00,12
9395234,0,962.00,4
3365933,1,1,404.00,1
5275468,1,1,497.00,0
1350720,1,240.00,12
13999182,1,403.00,1
603237,1,760.00,10
9399686,1,496.00,10
9355124,1,496.00,10
7309973,2,1,086.00,4
11362116,1,1,163.00,3
6855185,1,690.00,16
2928016,1,333.00,55
7102555,0,683.00,6
10043298,1,923.00,0
9911539,1,1,008.00,1
11578827,0,349.00,2
9142194,2,496.00,1
8173798,0,799.00,4
990342,1,923.00,15
3069740,1,302.00,13
1434823,1,318.00,2
12922363,1,427.00,1
9746972,1,318.00,1
9919674,1,1,000.00,1
10203733,1,504.00,20
8449547,2,799.00,4
5763675,0,698.00,32
5379958,2,7,802.00,9
163833,0,768.00,146
1770708,1,1,125.00,70
10816768,2,1,202.00,0
2174575,1,403.00,12
13704533,1,349.00,3
8297828,2,776.00,2
899640,1,900.00,94
13283002,0,853.00,1
7958196,2,900.00,0
6430098,2,946.00,4
5107464,2,799.00,5
236906,2,698.00,179
7141480,1,1,101.00,48
4070867,1,752.00,7
10837461,0,1,249.00,23
9596745,0,597.00,9
5255017,1,760.00,0
3972118,1,543.00,1
5594624,1,240.00,3
2322264,3,1,156.00,40
9875334,2,1,497.00,1
11642114,1,721.00,1
12993979,1,558.00,0
9579262,2,791.00,15
12557862,1,403.00,1
6483886,1,1,311.00,0
9459264,1,147.00,3
1564248,0,651.00,7
7483354,1,450.00,25
6516711,1,465.00,1
13381608,1,496.00,1
13365244,1,690.00,0
6107140,1,1,000.00,4
4681723,0,535.00,30
13283351,0,496.00,4
6609516,2,807.00,23
9309386,1,721.00,4
6823566,1,613.00,11
7467036,1,613.00,4
6418373,1,962.00,30
11896845,2,1,551.00,0
11628630,1,861.00,4
12857447,1,520.00,0
6156409,1,597.00,0
4583520,2,737.00,4
3373489,1,3,203.00,18
6905582,2,1,000.00,13
8745164,1,551.00,8
10870577,1,659.00,0
11247420,1,1,000.00,2
13070575,1,240.00,1
5349189,1,1,497.00,27
1667293,1,326.00,64
8576890,1,589.00,2
5906286,0,698.00,13
12611895,1,302.00,0
8576924,1,993.00,0
11956581,1,1,163.00,1
10756051,1,969.00,0
4087733,0,388.00,37
13303188,0,450.00,1
8958341,2,946.00,5
14102928,1,698.00,0
11306712,1,1,047.00,0
4849950,1,3,001.00,0
12243695,1,752.00,1
6905842,2,1,233.00,19
548840,0,471.00,88
3994506,2,1,000.00,7
3158017,0,683.00,42
9445413,0,589.00,3
8057329,0,799.00,11
75083,0,783.00,202
4502034,1,791.00,7
12857887,1,496.00,0
4174341,2,1,202.00,19
472563,3,1,458.00,27
4158025,1,496.00,9
6840463,1,1,000.00,3
11032695,1,613.00,14
9337480,2,651.00,3
10220194,1,209.00,2
5042965,0,954.00,63
11596468,1,1,404.00,0
10821860,1,1,000.00,11
12464957,2,752.00,0
11688660,0,900.00,1
6238927,1,838.00,2
11049780,1,2,102.00,1
6750265,1,1,497.00,0
9698778,1,783.00,1
5739781,0,403.00,6
9759352,0,698.00,0
9118090,1,1,000.00,1
10417015,2,737.00,5
4584329,0,799.00,15
8188812,1,1,094.00,7
11776930,2,2,001.00,0
9855435,0,434.00,8
10417077,1,388.00,3
13218756,1,900.00,0
2381135,1,264.00,0
5235174,1,481.00,8
10970118,1,535.00,3
12973036,0,3,878.00,0
7887271,3,1,101.00,3
9724487,1,651.00,3
13065733,0,1,249.00,9
5222986,1,768.00,12
10482717,1,589.00,3
13284413,1,349.00,0
5136996,1,698.00,3
8622950,1,776.00,0
12498033,0,698.00,0
8480931,0,752.00,3
4366964,1,752.00,48
2615187,0,349.00,25
3713564,1,799.00,1
3847332,1,419.00,3
5960890,0,776.00,1
13689549,1,279.00,0
10667473,3,1,458.00,2
4191482,1,698.00,1
12062782,1,434.00,1
4404478,2,651.00,11
10695946,1,458.00,13
10838834,2,551.00,0
12754481,1,403.00,0
13646645,1,1,000.00,0
11215683,2,1,598.00,0
8239924,1,271.00,9
4465489,1,597.00,9
5563224,1,1,202.00,1
13522159,0,651.00,3
13687610,2,659.00,2
1489724,1,597.00,4
9827718,0,520.00,1
11384174,1,318.00,1
944283,2,915.00,30
10178002,1,946.00,2
9811401,1,597.00,6
11482582,2,605.00,3
14214094,1,489.00,0
14059000,1,752.00,0
1809231,2,574.00,0
1926089,3,1,047.00,57
8975844,1,434.00,32
4404702,1,597.00,77
3212798,2,946.00,9
4681753,0,558.00,37
10040833,0,450.00,10
10417668,1,1,000.00,0
13008470,2,403.00,5
4660676,0,683.00,51
12473176,1,1,295.00,1
11335181,1,403.00,0
6250071,1,993.00,5
11679260,1,209.00,0
11461660,1,333.00,0
4372018,1,791.00,1
4645930,2,1,000.00,8
9467453,1,326.00,6
5585803,0,380.00,47
2184084,1,1,055.00,20
7566920,1,396.00,14
6121741,1,1,000.00,0
3274320,1,651.00,14
3251047,1,1,249.00,0
12891748,1,597.00,0
6428829,0,489.00,1
12473277,2,2,195.00,0
13315573,1,799.00,0
11871362,3,1,202.00,0
1910291,0,853.00,44
10577037,0,1,101.00,14
13751232,1,295.00,3
9376707,1,892.00,0
4945547,0,597.00,6
5739465,0,698.00,11
992390,1,636.00,97
13868658,2,1,148.00,1
10417892,0,799.00,0
1881824,0,574.00,18
